duration: 05, msg_len: 100, n_ranks: 3, iteration: 4, elapsed: 2.455475
duration: 05, msg_len: 100, n_ranks: 3, iteration: 5, elapsed: 2.433953
duration: 05, msg_len: 100, n_ranks: 4, iteration: 1, elapsed: 1.053589
duration: 05, msg_len: 100, n_ranks: 4, iteration: 2, elapsed: 0.975094
duration: 05, msg_len: 100, n_ranks: 4, iteration: 3, elapsed: 1.025648
duration: 05, msg_len: 100, n_ranks: 4, iteration: 4, elapsed: 0.990444
duration: 05, msg_len: 100, n_ranks: 4, iteration: 5, elapsed: 0.990071
duration: 05, msg_len: 1000, n_ranks: 1, iteration: 1, elapsed: 2.533513
duration: 05, msg_len: 1000, n_ranks: 1, iteration: 2, elapsed: 2.529859
duration: 05, msg_len: 1000, n_ranks: 1, iteration: 3, elapsed: 2.533026
duration: 05, msg_len: 1000, n_ranks: 1, iteration: 4, elapsed: 2.522395
duration: 05, msg_len: 1000, n_ranks: 1, iteration: 5, elapsed: 2.522646
duration: 05, msg_len: 1000, n_ranks: 2, iteration: 1, elapsed: 1.681615
duration: 05, msg_len: 1000, n_ranks: 2, iteration: 2, elapsed: 1.689993
duration: 05, msg_len: 1000, n_ranks: 2, iteration: 3, elapsed: 1.668888
duration: 05, msg_len: 1000, n_ranks: 2, iteration: 4, elapsed: 1.663967
duration: 05, msg_len: 1000, n_ranks: 2, iteration: 5, elapsed: 1.634561
duration: 05, msg_len: 1000, n_ranks: 3, iteration: 1, elapsed: 2.652713
duration: 05, msg_len: 1000, n_ranks: 3, iteration: 2, elapsed: 2.615317
duration: 05, msg_len: 1000, n_ranks: 3, iteration: 3, elapsed: 2.649958
duration: 05, msg_len: 1000, n_ranks: 3, iteration: 4, elapsed: 2.623724
duration: 05, msg_len: 1000, n_ranks: 3, iteration: 5, elapsed: 2.636531
duration: 05, msg_len: 1000, n_ranks: 4, iteration: 1, elapsed: 1.164517
duration: 05, msg_len: 1000, n_ranks: 4, iteration: 2, elapsed: 1.141955
duration: 05, msg_len: 1000, n_ranks: 4, iteration: 3, elapsed: 1.159768
duration: 05, msg_len: 1000, n_ranks: 4, iteration: 4, elapsed: 1.141540
duration: 05, msg_len: 1000, n_ranks: 4, iteration: 5, elapsed: 1.154070
duration: 05, msg_len: 10000, n_ranks: 1, iteration: 1, elapsed: 2.524120
duration: 05, msg_len: 10000, n_ranks: 1, iteration: 2, elapsed: 2.523250
duration: 05, msg_len: 10000, n_ranks: 1, iteration: 3, elapsed: 2.522668
duration: 05, msg_len: 10000, n_ranks: 1, iteration: 4, elapsed: 2.525836
duration: 05, msg_len: 10000, n_ranks: 1, iteration: 5, elapsed: 2.541117
duration: 05, msg_len: 10000, n_ranks: 2, iteration: 1, elapsed: 1.667669
duration: 05, msg_len: 10000, n_ranks: 2, iteration: 2, elapsed: 1.645344
duration: 05, msg_len: 10000, n_ranks: 2, iteration: 3, elapsed: 1.680241
duration: 05, msg_len: 10000, n_ranks: 2, iteration: 4, elapsed: 1.659370
duration: 05, msg_len: 10000, n_ranks: 2, iteration: 5, elapsed: 1.668773
duration: 05, msg_len: 10000, n_ranks: 3, iteration: 1, elapsed: 2.659906
duration: 05, msg_len: 10000, n_ranks: 3, iteration: 2, elapsed: 2.659634
duration: 05, msg_len: 10000, n_ranks: 3, iteration: 3, elapsed: 2.631285
duration: 05, msg_len: 10000, n_ranks: 3, iteration: 4, elapsed: 2.424775
