duration: 01, msg_len: 1000000, n_threads: 4, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 4, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 4, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 4, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 8, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 8, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 8, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 8, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 8, iteration: 5, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 1, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 2, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 3, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 4, elapsed: too_large
duration: 01, msg_len: 1000000, n_threads: 16, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100, n_threads: 1, iteration: 1, elapsed: 1.470443
duration: 05, msg_len: 100, n_threads: 1, iteration: 2, elapsed: 1.472323
duration: 05, msg_len: 100, n_threads: 1, iteration: 3, elapsed: 1.478017
duration: 05, msg_len: 100, n_threads: 1, iteration: 4, elapsed: 1.473159
duration: 05, msg_len: 100, n_threads: 1, iteration: 5, elapsed: 1.511716
duration: 01, msg_len: 100, n_threads: 1, iteration: 1, elapsed: 0.427631
duration: 01, msg_len: 100, n_threads: 1, iteration: 2, elapsed: 0.420114
duration: 01, msg_len: 100, n_threads: 1, iteration: 3, elapsed: 0.440956
duration: 01, msg_len: 100, n_threads: 1, iteration: 4, elapsed: 0.419169
duration: 01, msg_len: 100, n_threads: 1, iteration: 5, elapsed: 0.419359
duration: 01, msg_len: 100, n_threads: 2, iteration: 1, elapsed: 0.478949
duration: 01, msg_len: 100, n_threads: 2, iteration: 2, elapsed: 0.472241
duration: 01, msg_len: 100, n_threads: 2, iteration: 3, elapsed: 0.471066
