duration: 05, msg_len: 100, n_threads: 128, iteration: 3, elapsed: 0.039035
duration: 05, msg_len: 100, n_threads: 128, iteration: 4, elapsed: 0.038853
duration: 05, msg_len: 100, n_threads: 128, iteration: 5, elapsed: 0.039224
duration: 05, msg_len: 100, n_threads: 256, iteration: 1, elapsed: 0.038877
duration: 05, msg_len: 100, n_threads: 256, iteration: 2, elapsed: 0.038904
duration: 05, msg_len: 100, n_threads: 256, iteration: 3, elapsed: 0.038960
duration: 05, msg_len: 100, n_threads: 256, iteration: 4, elapsed: 0.038969
duration: 05, msg_len: 100, n_threads: 256, iteration: 5, elapsed: 0.038876
duration: 05, msg_len: 100, n_threads: 512, iteration: 1, elapsed: 0.039101
duration: 05, msg_len: 100, n_threads: 512, iteration: 2, elapsed: 0.038880
duration: 05, msg_len: 100, n_threads: 512, iteration: 3, elapsed: 0.038935
duration: 05, msg_len: 100, n_threads: 512, iteration: 4, elapsed: 0.038948
duration: 05, msg_len: 100, n_threads: 512, iteration: 5, elapsed: 0.039048
duration: 05, msg_len: 1000, n_threads: 16, iteration: 1, elapsed: 0.046160
duration: 05, msg_len: 1000, n_threads: 16, iteration: 2, elapsed: 0.046419
duration: 05, msg_len: 1000, n_threads: 16, iteration: 3, elapsed: 0.046214
duration: 05, msg_len: 1000, n_threads: 16, iteration: 4, elapsed: 0.046429
duration: 05, msg_len: 1000, n_threads: 16, iteration: 5, elapsed: 0.046147
duration: 05, msg_len: 1000, n_threads: 32, iteration: 1, elapsed: 0.041905
duration: 05, msg_len: 1000, n_threads: 32, iteration: 2, elapsed: 0.041905
duration: 05, msg_len: 1000, n_threads: 32, iteration: 3, elapsed: 0.041851
duration: 05, msg_len: 1000, n_threads: 32, iteration: 4, elapsed: 0.041875
duration: 05, msg_len: 1000, n_threads: 32, iteration: 5, elapsed: 0.041890
duration: 05, msg_len: 1000, n_threads: 64, iteration: 1, elapsed: 0.039420
duration: 05, msg_len: 1000, n_threads: 64, iteration: 2, elapsed: 0.039439
duration: 05, msg_len: 1000, n_threads: 64, iteration: 3, elapsed: 0.039387
duration: 05, msg_len: 1000, n_threads: 64, iteration: 4, elapsed: 0.039540
duration: 05, msg_len: 1000, n_threads: 64, iteration: 5, elapsed: 0.039343
duration: 05, msg_len: 1000, n_threads: 128, iteration: 1, elapsed: 0.038870
duration: 05, msg_len: 1000, n_threads: 128, iteration: 2, elapsed: 0.038897
duration: 05, msg_len: 1000, n_threads: 128, iteration: 3, elapsed: 0.038943
duration: 05, msg_len: 1000, n_threads: 128, iteration: 4, elapsed: 0.038972
duration: 05, msg_len: 1000, n_threads: 128, iteration: 5, elapsed: 0.038875
duration: 05, msg_len: 1000, n_threads: 256, iteration: 1, elapsed: 0.039038
duration: 05, msg_len: 1000, n_threads: 256, iteration: 2, elapsed: 0.039138
duration: 05, msg_len: 1000, n_threads: 256, iteration: 3, elapsed: 0.039012
duration: 05, msg_len: 1000, n_threads: 256, iteration: 4, elapsed: 0.038957
duration: 05, msg_len: 1000, n_threads: 256, iteration: 5, elapsed: 0.039001
duration: 05, msg_len: 1000, n_threads: 512, iteration: 1, elapsed: 0.039474
duration: 05, msg_len: 1000, n_threads: 512, iteration: 2, elapsed: 0.039142
duration: 05, msg_len: 1000, n_threads: 512, iteration: 3, elapsed: 0.039111
duration: 05, msg_len: 1000, n_threads: 512, iteration: 4, elapsed: 0.039145
duration: 05, msg_len: 1000, n_threads: 512, iteration: 5, elapsed: 0.039159
duration: 05, msg_len: 10000, n_threads: 16, iteration: 1, elapsed: 0.046333
duration: 05, msg_len: 10000, n_threads: 16, iteration: 2, elapsed: 0.046335
duration: 05, msg_len: 10000, n_threads: 16, iteration: 3, elapsed: 0.046367
duration: 05, msg_len: 10000, n_threads: 16, iteration: 4, elapsed: 0.046524
duration: 05, msg_len: 10000, n_threads: 16, iteration: 5, elapsed: 0.046332
duration: 05, msg_len: 10000, n_threads: 32, iteration: 1, elapsed: 0.042076
duration: 05, msg_len: 10000, n_threads: 32, iteration: 2, elapsed: 0.042032
duration: 05, msg_len: 10000, n_threads: 32, iteration: 3, elapsed: 0.042092
duration: 05, msg_len: 10000, n_threads: 32, iteration: 4, elapsed: 0.042452
duration: 05, msg_len: 10000, n_threads: 32, iteration: 5, elapsed: 0.042051
duration: 05, msg_len: 10000, n_threads: 64, iteration: 1, elapsed: 0.039579
duration: 05, msg_len: 10000, n_threads: 64, iteration: 2, elapsed: 0.039553
duration: 05, msg_len: 10000, n_threads: 64, iteration: 3, elapsed: 0.039517
duration: 05, msg_len: 10000, n_threads: 64, iteration: 4, elapsed: 0.039511
duration: 05, msg_len: 10000, n_threads: 64, iteration: 5, elapsed: 0.039623
duration: 05, msg_len: 10000, n_threads: 128, iteration: 1, elapsed: 0.039151
duration: 05, msg_len: 10000, n_threads: 128, iteration: 2, elapsed: 0.039090
duration: 05, msg_len: 10000, n_threads: 128, iteration: 3, elapsed: 0.039006
duration: 05, msg_len: 10000, n_threads: 128, iteration: 4, elapsed: 0.039095
duration: 05, msg_len: 10000, n_threads: 128, iteration: 5, elapsed: 0.039103
duration: 05, msg_len: 10000, n_threads: 256, iteration: 1, elapsed: 0.039214
duration: 05, msg_len: 10000, n_threads: 256, iteration: 2, elapsed: 0.039117
duration: 05, msg_len: 10000, n_threads: 256, iteration: 3, elapsed: 0.039122
duration: 05, msg_len: 10000, n_threads: 256, iteration: 4, elapsed: 0.039057
duration: 05, msg_len: 10000, n_threads: 256, iteration: 5, elapsed: 0.038981
duration: 05, msg_len: 10000, n_threads: 512, iteration: 1, elapsed: 0.039155
duration: 05, msg_len: 10000, n_threads: 512, iteration: 2, elapsed: 0.039232
duration: 05, msg_len: 10000, n_threads: 512, iteration: 3, elapsed: 0.039166
duration: 05, msg_len: 10000, n_threads: 512, iteration: 4, elapsed: 0.039143
duration: 05, msg_len: 10000, n_threads: 512, iteration: 5, elapsed: 0.039174
duration: 05, msg_len: 100000, n_threads: 16, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 16, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 16, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 16, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 16, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 32, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 32, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 32, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 32, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 32, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 64, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 64, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 64, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 64, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 64, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 128, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 128, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 128, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 128, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 128, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 256, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 256, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 256, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 256, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 256, iteration: 5, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 512, iteration: 1, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 512, iteration: 2, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 512, iteration: 3, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 512, iteration: 4, elapsed: too_large
duration: 05, msg_len: 100000, n_threads: 512, iteration: 5, elapsed: too_large
duration: 05, msg_len: 1000000, n_threads: 16, iteration: 1, elapsed: too_large
